locationid,Applicant,FacilityType,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,Location,Zip Codes
1337048,Roadside Rotisserie Corporation / Country Grill,Truck,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 POST ST,311015,311,15,19MFF-00062,EXPIRED,Rotisserie chicken: pork loin: ribs: chicken salad wrap: potatoes: roasted seasonal vegetables kale salad: beverages.,"(37.788778723377995, -122.40257456841074)",28854
1037692,Munch A Bunch,Truck,FULTON ST: FRANKLIN ST to GOUGH ST (300 - 399),365 FULTON ST,0792 028,792,28,17MFF-0197,EXPIRED,Cold Truck: packaged sandwiches: pitas: breakfast: cold and hot drinks: snacks,"(37.77849359718518, -122.42295474739645)",28852
1341056,Kettle Corn Star,Push Cart,MARKET ST: YERBA BUENA LN to 04TH ST \ ELLIS ST \ STOCKTON ST (767 - 799) -- SOUTH --,773 MARKET ST,3706096,3706,96,19MFF-00105,EXPIRED,Kettle Corn: Funnel Cakes: Lemonade: Beverages: Flan: Hot Dogs: Falafel: Hot and Cold Sandwiches: French Fries: Baklava and Pastries,"(37.78539563944047, -122.40439104283043)",28853
1174531,CC Acquisition LLC,Push Cart,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,525 MARKET ST,3708056,3708,56,18MFF-0034,REQUESTED,Chai Tea,"(37.790406719940485, -122.39927588608576)",28855
1336028,Paradise Catering,Truck,FOLSOM ST: DORE ST to 10TH ST (1345 - 1399),1398 FOLSOM ST,3518015,3518,15,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.77309677131092, -122.41274507720499)",28853
1336678,Mike's Catering,Truck,CHINA BASIN ST: TERRY A FRANCOIS BLVD to 03RD ST (300 - 499),Assessors Block 8720/Lot009,8720009,8720,9,19MFF-00054,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,"(37.77215224324445, -122.38774298411559)",310
1337426,Liang Bai Ping,Truck,PALOU AVE: END to GRIFFITH ST (904 - 999),Assessors Block /Lot,,,,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(0.0, 0.0)",
1181501,John's Catering #5,Truck,MARIPOSA ST: HAMPSHIRE ST to YORK ST (2500 - 2599),2500 MARIPOSA ST,3971001,3971,1,18MFF-0045,EXPIRED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),"(37.76372721363287, -122.40933414878978)",28859
1337926,La Jefa,,SUTTER ST: SANSOME ST to MONTGOMERY ST (50 - 99),80 SUTTER ST,289005,289,5,19MFF-00018,REQUESTED,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.,"(37.79034624734142, -122.4018501909886)",28854
1337455,Liang Bai Ping,Truck,JENNINGS ST: VAN DYKE AVE to WALLACE AVE (2100 - 2199),2115 JENNINGS ST,4828021,4828,21,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.72672797825706, -122.38865842883155)",58
812017,SF Street Food,Truck,SUTTER ST: CLAUDE LN to GRANT AVE (216 - 299),290 SUTTER ST,287014,287,14,16MFF-0126,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,"(37.78991386713444, -122.40523289252366)",28857
1181513,John's Catering #5,Truck,BRYANT ST: 19TH ST to 20TH ST (2100 - 2199),2157 BRYANT ST,4080065,4080,65,18MFF-0045,EXPIRED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),"(37.759796271722685, -122.40957342162403)",28859
1302321,San Francisco's Hometown Creamery,Truck,POST ST: STOCKTON ST to POWELL ST (300 - 399),340 POST ST,295005,295,5,18MFF-0099,EXPIRED,Ice Cream: Waffle Cones,"(37.78869699864027, -122.40747042036952)",28852
1334524,Natan's Catering,Truck,ILLINOIS ST: 25TH ST to END (1500 - 1599),Assessors Block 4296/Lot010,4296010,4296,10,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.75240499247832, -122.38700019629786)",28856
848080,Taqueria Lolita,Truck,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),1700 EVANS AVE,5227001,5227,1,16MFF-0128,SUSPEND,Tacos: burritos: quesadillas: combination plates: tortas: tostadas,"(37.744889286143, -122.39097197693538)",58
1037687,Munch A Bunch,Truck,17TH ST: SAN BRUNO AVE to UTAH ST (2200 - 2299),2222 17TH ST,3960001,3960,1,17MFF-0197,EXPIRED,Cold Truck: packaged sandwiches: pitas: breakfast: cold and hot drinks: snacks,"(37.76521594899384, -122.40600697202919)",28853
1336038,Paradise Catering,Truck,MINNA ST: 08TH ST to 09TH ST (700 - 799),786 MINNA ST,3728 105,3728,105,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.776222759514205, -122.41390733044082)",28853
1336758,Park's Catering,Truck,INNES AVE: EARL ST to ARELIOUS WALKER DR (700 - 799),Assessors Block 4644/Lot008,4644008,4644,8,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.730906150359694, -122.37330257748522)",58
1336760,Park's Catering,Truck,LOOMIS ST: BARNEVELD AVE \ MCKINNON AVE to OAKDALE AVE (1 - 99),10 LOOMIS ST,5560100,5560,100,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.74378392338268, -122.40378882961045)",58
934614,May Catering,Truck,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2090 EVANS AVE,4347A003,4347A,3,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.74795496456781, -122.39579738491634)",58
949952,"Santana ESG, Inc.",Truck,HARRISON ST: 21ST ST to 22ND ST (2500 - 2599),2598 HARRISON ST,3613009,3613,9,17MFF-0164,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,"(0.0, 0.0)",
963983,Singh Brothers Ice Cream,Truck,JENNINGS ST: KEY AVE to LE CONTE AVE (3400 - 3499),3444 JENNINGS ST,4995005,4995,5,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,"(37.71852204856645, -122.3966614444168)",58
1334516,Natan's Catering,Truck,CONNECTICUT ST: 17TH ST to MARIPOSA ST (100 - 199),146 CONNECTICUT ST,3983037,3983,37,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.764447295561894, -122.397987371508)",28856
934607,May Catering,Truck,17TH ST: TREAT AVE to FOLSOM ST (3025 - 3099),3030 17TH ST,3572005,3572,5,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.764038182817366, -122.41375751658944)",28859
1337607,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,STOCKTON ST: 04TH ST \ ELLIS ST \ MARKET ST intersection,800 MARKET ST,329001,329,1,19MFF-00081,EXPIRED,Soft pretzels: hot dogs: sausages: chips: popcorn: sodea: coffee: espresso: cappucino: pastries: ice cream: Italian sausages: shish-ka-bob: churros: juice: water: various drinks.,"(37.785469746489916, -122.40661576107294)",28852
1340417,Let's Be Frank,Push Cart,HAYES ST: GOUGH ST to OCTAVIA ST (400 - 499),425 HAYES ST,817025,817,25,19MFF-00104,EXPIRED,Hot dogs and chili,"(37.776566896519526, -122.42339537672727)",28852
1334950,DO UC US Mobile Catering,Truck,PARNASSUS AVE: HILLWAY AVE to 03RD AVE (400 - 599),400 PARNASSUS AVE,1756001,1756,1,19MFF-00050,EXPIRED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks,"(37.763864032383225, -122.4583917498439)",56
1058991,Ruru Juice LLC,Truck,MISSION ST: 02ND ST to NEW MONTGOMERY ST (600 - 634),601 MISSION ST,3722001,3722,1,17MFF-0198,REQUESTED,Smoothies: Juice: Salads: Fruit Bowls: Soup,"(37.78767164448786, -122.39976292583923)",28855
934578,May Catering,Truck,ALABAMA ST: 16TH ST to 17TH ST (300 - 399),380 ALABAMA ST,3967049,3967,49,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.764452392765065, -122.41267189164454)",28859
1181512,John's Catering #5,Truck,HAYES ST: SHRADER ST to STANYAN ST (2200 - 2299),2200 HAYES ST,1191039,1191,39,18MFF-0045,EXPIRED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),"(0.0, 0.0)",
1336736,Quan Catering,Truck,CESAR CHAVEZ ST: CONNECTICUT ST to EVANS AVE (1900 - 2099),2190 CESAR CHAVEZ ST,4324002,4324,2,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,"(37.75023688477907, -122.39781803171861)",28856
1336759,Park's Catering,Truck,INNES AVE: ARELIOUS WALKER DR to GRIFFITH ST (800 - 899),Assessors Block 4645/Lot015,4645015,4645,15,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.73213495192223, -122.37539807856734)",58
1337428,Liang Bai Ping,Truck,REVERE AVE: GRIFFITH ST to CRISP RD (1100 - 1188),1145 REVERE AVE,4786077,4786,77,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.72659047951941, -122.3817522114059)",58
1334526,Natan's Catering,Truck,17TH ST: MISSION ST to HOFF ST (3300 - 3343),3335 17TH ST,3576086,3576,86,19MFF-00045,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,"(37.76315639322651, -122.42032223152648)",28859
1344173,"Expresso Subito, LLC.",Truck,MISSION ST: ANTHONY ST to 02ND ST (573 - 599),85 02ND ST,3708019,3708,19,19MFF-00114,EXPIRED,Expresso drinks: assorted beverages (canned: bottled: home made): scones: croissants: bagels: soup: chili: parfaits: smoothies: frappes: milk shakes.,"(37.788457028828915, -122.3998841605663)",28855
1163789,"SOHOMEI, LLC",Truck,02ND ST: JESSIE ST to MISSION ST (69 - 99),85 02ND ST,3708019,3708,19,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,"(37.788457028828915, -122.3998841605663)",28855
1337442,Liang Bai Ping,Truck,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1420 YOSEMITE AVE,4831012,4831,12,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.725181700728754, -122.38819268844395)",58
934587,May Catering,Truck,16TH ST: OWENS ST to 07TH ST \ MISSISSIPPI ST (700 - 899),Assessors Block 8727/Lot005,8727005,8727,5,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.76558646814734, -122.39319710116628)",310
934603,May Catering,Truck,16TH ST: MISSOURI ST to CONNECTICUT ST (1000 - 1099),1006 16TH ST,3833002,3833,2,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.76668985738672, -122.3971823227805)",28856
735318,Ziaurehman Amini,Push Cart,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,234017,234,17,15MFF-0159,REQUESTED,,"(37.794331003246846, -122.39581105302317)",28855
953198,"Santana ESG, Inc.",Truck,SHOTWELL ST: 16TH ST to 17TH ST (200 - 299),200 SHOTWELL ST,3571014,3571,14,17MFF-0169,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,"(37.764745350719494, -122.41656213947006)",28859
1337354,Tacos Rodriguez,Truck,EVANS AVE: KEITH ST to MENDELL ST (1201 - 1399) -- SOUTH --,1275 EVANS AVE,5237033,5237,33,19MFF-00077,EXPIRED,Tacos: burritos: quesadillas: soda & water,"(37.73911142974502, -122.38246497113636)",58
934616,May Catering,Truck,DONNER AVE: END to 03RD ST (1600 - 1699),1600 DONNER AVE,4881023,4881,23,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.72400910654023, -122.3929867825778)",58
1089427,Halal Food,Push Cart,CALIFORNIA ST: DRUMM ST to DAVIS ST (1 - 99),50 CALIFORNIA ST,235022,235,22,18MFF-0003,REQUESTED,rice chicken beef hot dogs and sandwich's and coke and water,"(37.79405318373291, -122.39734769332577)",28860
1337437,Liang Bai Ping,Truck,VAN DYKE AVE: INGALLS ST to JENNINGS ST (1300 - 1399),1370 VAN DYKE AVE,4811013,4811,13,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.72695076437817, -122.3879799562619)",58
1336751,Park's Catering,Truck,BURKE AVE: END to 03RD ST (1500 - 1599),1555 BURKE AVE,5203067,5203,67,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.74371347536804, -122.38596479003613)",58
773105,Athena SF Gyro,Push Cart,08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699),699 08TH ST,3783009,3783,9,15MFF-0145,REQUESTED,Gyro pita bread (Lamb or chicken): lamb over rice: chicken over rice: chicken biryani rice: soft drinks,"(37.771021999243686, -122.4035462541838)",28853
1336733,Quan Catering,Truck,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3401 - 3499) -- EAST --,3433 03RD ST,5203023,5203,23,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,"(0.0, 0.0)",
1366269,Golden Gate Halal Food,Push Cart,MARKET ST: 07TH ST \ CHARLES J BRENHAM PL to 08TH ST \ GROVE ST \ HYDE ST (1101 - 1199) -- SOUTH --,1169 MARKET ST,3702051,3702,51,19MFF-00126,REQUESTED,Pulao Plates & Sandwiches: Various Drinks,"(0.0, 0.0)",
963988,Singh Brothers Ice Cream,Truck,PALOU AVE: HAWES ST to INGALLS ST (1100 - 1199),1101 PALOU AVE,4757024,4757,24,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,"(37.72867144281792, -122.38186508864092)",58
963995,Singh Brothers Ice Cream,Truck,KISKA RD: DORMITORY RD \ KIRKWOOD AVE to REARDON RD (141 - 199),195 KISKA RD,4700052,4700,52,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,"(37.72943828845401, -122.37665780072307)",58
1336686,Mike's Catering,Truck,MINNESOTA ST: 24TH ST to 25TH ST (1300 - 1399),1310 MINNESOTA ST,4228129,4228,129,19MFF-00054,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,"(37.75369989994381, -122.39006834690777)",28856
840504,Taqueria Lolita,Truck,EVANS AVE: QUINT ST to RANKIN ST (1700 - 1799),750 PHELPS ST,5280001,5280,1,16MFF-0128,SUSPEND,Tacos: burritos: quesadillas: combination plates: tortas: tostadas,"(37.73944545286909, -122.39301498669842)",58
453014,Tacos Santana,,JERROLD AVE: TOLAND ST to UPTON ST (2100 - 2230),2142 JERROLD AVE,5230011,5230,11,13MFF-0112,EXPIRED,,"(37.744518582664874, -122.39894084662791)",58
1344203,"Bay Area Dots, LLC",Push Cart,TAYLOR ST: BAY ST intersection,567 BAY ST,43001,43,1,19MFF-00117,REQUESTED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,"(0.0, 0.0)",
1336740,Quan Catering,Truck,BRYANT ST: 04TH ST \ I-80 E OFF RAMP to 05TH ST \ I-80 E ON RAMP (600 - 699),645 BRYANT ST,3777051,3777,51,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,"(37.778266576694556, -122.3988359224453)",28856
934592,May Catering,Truck,,299 ILLINOIS ST,3850001A,3850,001A,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(0.0, 0.0)",
1336754,Park's Catering,Truck,EVANS AVE: HUNTERS POINT BLVD to JENNINGS ST \ MIDDLE POINT RD (1031 - 1099),1000 EVANS AVE,4580002,4580,2,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.737726866595764, -122.37657291457295)",58
1181498,John's Catering #5,Truck,HARRISON ST: FREMONT ST \ I-80 W OFF RAMP to 01ST ST \ I-80 E ON RAMP (400 - 499),401 HARRISON ST,3765022,3765,22,18MFF-0045,EXPIRED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),"(37.78606252109722, -122.39217646394879)",28855
1416733,"Off the Grid Services, LLC",Truck,SANSOME ST: SUTTER ST to BUSH ST (1 - 99),1 BUSH ST,290011,290,11,20MFF-00003,REQUESTED,,"(37.79092150726921, -122.4001004237385)",28854
934519,Scotch Bonnet,Truck,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,239029,239,29,17MFF-0094,EXPIRED,Jerk chicken: curry chicken: curry goat: curry dhal: Burritos: Fish: Ox tails: rice: beans: veggies.,"(37.793262206923096, -122.4017890913628)",28854
1265607,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),Assessors Block /Lot,,,,19MFF-00001,REQUESTED,American Food: Hot dogs: pretzels: ice cream: salads: beverages: sandwiches: soup: coffee: pastries:etc.,"(0.0, 0.0)",
934583,May Catering,Truck,ILLINOIS ST: MARIPOSA ST \ TERRY A FRANCOIS BLVD to 18TH ST (600 - 699),600 ILLINOIS ST,3994011,3994,11,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.76416012822032, -122.38814226212779)",28856
934575,May Catering,Truck,JERROLD AVE: UPTON ST to NAPOLEON ST (2201 - 2299),2270 JERROLD AVE,5230008,5230,8,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.7461044517152, -122.40036183496544)",58
1332939,Mini Mobile Food Catering,Truck,08TH ST: HERON ST to HARRISON ST (350 - 399),350 08TH ST,3756003,3756,3,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,"(37.77369415247486, -122.40965844135582)",28853
1336031,Paradise Catering,Truck,GEARY ST: HYDE ST to LARKIN ST (800 - 899),855 GEARY ST,320019,320,19,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(37.78591568786929, -122.4173022846849)",28858
735315,Ziaurehman Amini,Push Cart,DRUMM ST: MARKET ST to CALIFORNIA ST (1 - 6),1 CALIFORNIA ST,264004,264,4,15MFF-0159,REQUESTED,,"(37.793213731663414, -122.39704303671823)",28860
1163791,"SOHOMEI, LLC",Truck,CLAY ST: BATTERY ST to SANSOME ST (400 - 499),432 CLAY ST,206006,206,6,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,"(37.795105560981405, -122.40087663372626)",28860
1336679,Mike's Catering,Truck,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2323 CESAR CHAVEZ ST,4342001,4342,1,19MFF-00054,EXPIRED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,"(37.748801377714486, -122.40055245878467)",58
934600,May Catering,Truck,03RD ST: 24TH ST to 25TH ST (2800 - 2898) -- WEST --,2800 03RD ST,4246001,4246,1,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.753717416902134, -122.38835902104361)",28856
1163792,"SOHOMEI, LLC",Truck,THOMAS MORE WAY: BROTHERHOOD WAY \ CHUMASERO DR to SAN FRANCISCO GOLF CLUB RD (1 - 99),1 THOMAS MORE WAY,7380027,7380,27,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,"(37.710003334289446, -122.47141191312888)",64
755221,Fruteria Serrano,,MISSION ST: OCEAN AVE to PERSIA AVE (4650 - 4699),4650 MISSION ST,6955044,6955,44,16MFF-0011,REQUESTED,Fruits including mangoes: pineapples: coconuts: watermelon: corn: cucumber: potatoes chips: water: Mexican drinks: sodas: juices: snow cones,"(37.723661279505265, -122.43594382523997)",28861
1336766,Park's Catering,Truck,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),220 NEWHALL ST,5203040,5203,40,19MFF-00056,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,"(37.743014249631514, -122.38446024493484)",58
1153604,SPUNBYSS,Truck,02ND ST: TEHAMA ST to CLEMENTINA ST (224 - 273),240 02ND ST,3735055,3735,55,18MFF-0021,REQUESTED,American classic slider:  fried chicken slider: fried chicken skin: wedge cut fries: regular cut fries: handcrafted sodas: spring salad,"(37.78594032017338, -122.39779993385848)",28855
1337452,Liang Bai Ping,Truck,GRIFFITH ST: QUESADA AVE to REVERE AVE (1300 - 1399),1300 GRIFFITH ST,4763047,4763,47,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.727086633951366, -122.38107444874923)",58
963981,Singh Brothers Ice Cream,Truck,JAMESTOWN AVE: GRIFFITH ST to CORONADO ST (800 - 850),800 JAMESTOWN AVE,4973034,4973,34,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,"(37.71644300214742, -122.38993787932108)",58
1337923,La Jefa,,SANSOME ST: BUSH ST to PINE ST (100 - 199),155 SANSOME ST,268001,268,1,19MFF-00018,REQUESTED,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.,"(37.79183426305553, -122.40127961659626)",28854
953001,Wonder Philly,Push Cart,04TH ST: BERRY ST to MISSION CREEK (900 - 999),960 04TH ST,8708002,8708,2,17MFF-0166,ISSUED,Hot dogs: sausages: cheesesteaks: chips: drinks,"(37.77433766636957, -122.39405328631256)",310
1351263,Isidoro Serrano,Push Cart,21ST ST: CAPP ST to MISSION ST (3150 - 3199),2501 MISSION ST,3615070,3615,70,19MFF-00075,EXPIRED,,"(37.756877451535736, -122.41857988947626)",28859
1334599,Tacos El Ojo De Agua,Truck,03RD ST: SOUTH PARK to VARNEY PL (548 - 586),551 03RD ST,3775025,3775,25,19MFF-00046,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Salads: Soup: Fruits: Juices: Soda: Water,"(37.780647210048365, -122.39462918166163)",28856
1336732,Quan Catering,Truck,03RD ST: 25TH ST to 26TH ST (2900 - 2998) -- WEST --,2920 03RD ST,4295014,4295,14,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,"(37.7519716288769, -122.38796548380076)",28856
1337433,Liang Bai Ping,Truck,THOMAS AVE: HAWES ST to INGALLS ST (1200 - 1299),1212 THOMAS AVE,4792029,4792,29,19MFF-00079,EXPIRED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,"(37.7266647697066, -122.38414422460619)",58
1336015,Paradise Catering,Truck,,Assessors Block /Lot,,,,19MFF-00051,EXPIRED,Cold Truck: Sandwiches: snacks: prepackaged items: beverages:,"(0.0, 0.0)",
934577,May Catering,Truck,MINNESOTA ST: 20TH ST to 22ND ST (800 - 999),900 MINNESOTA ST,4106001A,4106,001A,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(0.0, 0.0)",
934719,"Santana ESG, Inc.",Truck,SANSOME ST: SUTTER ST to BUSH ST (1 - 99),1 SANSOME ST,289003,289,3,17MFF-0122,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas,"(37.790485146128, -122.40094044068951)",28854
934594,May Catering,Truck,YORK ST: 19TH ST to 20TH ST (700 - 799),720 YORK ST,4080018,4080,18,17MFF-0110,EXPIRED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,"(37.7598258374358, -122.40920291508344)",28859
